,Unnamed: 0,id,fighter_name,total_wins,total_losses,total_draws,total_nc,height,weight,reach,stance,dob,slpm,str_acc,sapm,str_def,td_avg,td_acc,td_def,td_acc.1,sub_avg
1030,1031,6751eacd16bd59bc,Josh Culibao,8,1,1,0,"5'10""",155,"73""",Orthodox,5/24/1994,2.52,38%,4.3,48%,0.0,0%,100%,0%,0.0
1031,1032,fba03cd6cc28dc41,Josh Emmett,16,2,0,0,"5'6""",145,"70""",Orthodox,3/04/1985,4.32,39%,4.02,63%,1.43,47%,50%,47%,0.1
1033,1034,60ba33c3f555a7a3,Josh Grispi,14,5,0,0,"5'11""",145,"74""",Orthodox,10/14/1988,1.44,41%,3.71,50%,1.97,36%,16%,36%,2.2
1036,1037,dd37fd509af89f15,Josh Koscheck,17,11,0,0,"5'10""",170,"73""",Orthodox,11/30/1977,1.79,36%,2.27,63%,2.46,48%,64%,48%,0.4
1037,1038,d1a1314976c50bef,Josh Neer,36,16,1,0,"5'11""",170,"72""",Orthodox,3/24/1983,3.29,46%,3.63,58%,1.09,34%,46%,34%,1.3
1038,1039,b5da8f7d05e85a55,Josh Parisian,13,4,0,0,"6'4""",265,"79""",Orthodox,6/28/1989,7.46,51%,7.51,42%,0.0,0%,66%,0%,0.7
1040,1041,9deff9e3e8d94d47,Josh Samman,13,4,0,0,"6'3""",185,"79""",Orthodox,3/14/1988,2.08,52%,2.47,34%,1.09,33%,33%,33%,0.4
1041,1042,f65dcb22dada2223,Josh Sampo,11,5,0,0,"5'4""",125,"64""",Orthodox,7/24/1984,1.99,36%,2.96,55%,1.06,33%,40%,33%,2.1
1044,1045,30ea504870f8597b,Josh Stansbury,4,8,0,0,"6'2""",205,"74""",Orthodox,11/19/1984,3.22,54%,3.54,54%,0.0,0%,87%,0%,1.0
1045,1046,a566371ba2ad7152,Josh Thomson,22,9,0,1,"5'10""",155,"71""",Orthodox,9/21/1978,2.59,47%,2.12,64%,1.92,39%,54%,39%,1.3
1046,1047,6da99156486ed6c2,Joshua Burkman,28,16,0,1,"5'10""",170,"72""",Orthodox,4/10/1980,2.69,43%,3.13,51%,2.53,36%,72%,36%,0.3
1047,1048,78f485f851891d68,Journey Newson,9,3,0,1,"5'5""",135,"67""",Orthodox,3/07/1989,2.76,32%,2.76,65%,0.0,0%,0%,0%,0.9
1048,1049,83b00f7597e5ac83,Juan Adams,5,3,0,0,"6'5""",265,"80""",Orthodox,1/16/1992,7.09,55%,4.06,34%,0.91,66%,57%,66%,0.0
1051,1052,86d9dbe1bfcbade7,Julia Avila,8,2,0,0,"5'7""",135,"68""",Orthodox,5/11/1988,3.1,41%,2.9,54%,0.49,50%,60%,50%,0.0
1052,1053,902ec2cc48c8ae8a,Julian Erosa,25,9,0,0,"6'1""",145,"74""",Southpaw,7/31/1989,5.07,47%,5.72,50%,1.32,54%,58%,54%,0.9
1053,1054,d0e1b42d41dab603,Julian Marquez,8,2,0,0,"6'2""",185,"72""",Orthodox,5/08/1990,3.5,40%,2.98,52%,0.0,0%,53%,0%,3.4
1055,1056,75a6a390fd5dca46,Juliana Lima,9,5,0,0,"5'5""",115,"65""",Orthodox,3/15/1982,1.94,44%,2.11,55%,1.72,31%,70%,31%,0.0
1056,1057,3253b16d38ae087d,Julianna Pena,11,4,0,0,"5'6""",135,"69""",Orthodox,8/19/1989,2.8,47%,1.7,53%,2.49,53%,23%,53%,0.8
1058,1059,1291edf2d566a71a,Julio Arce,16,4,0,0,"5'7""",145,"70""",Southpaw,10/27/1989,4.25,36%,2.87,67%,0.58,30%,93%,30%,0.6
1062,1063,c482c8605455a213,Junior Albini,14,6,0,0,"6'3""",264,"74""",Orthodox,3/15/1991,3.98,51%,6.08,52%,1.54,37%,100%,37%,0.0
1063,1064,d0d7160824278840,Junior Assuncao,16,6,0,0,"5'9""",145,"72""",Orthodox,6/24/1981,3.31,62%,2.06,44%,2.43,24%,66%,24%,0.7
1064,1065,63def5a5662a6917,Junior Dos Santos,21,9,0,0,"6'4""",238,"77""",Orthodox,1/30/1984,4.49,47%,3.33,56%,0.3,50%,81%,50%,0.1
1065,1066,285ae0b4a68221f4,Junyong Park,12,4,0,0,"5'10""",185,"73""",Orthodox,2/27/1991,4.24,47%,2.9,59%,3.4,64%,45%,64%,0.0
1066,1067,b102c26727306ab6,Jussier Formiga,23,8,0,0,"5'5""",125,"67""",Orthodox,4/14/1985,1.42,39%,2.34,64%,1.82,35%,87%,35%,0.6
1067,1068,231926533134ec1f,Justin Buchholz,15,10,0,0,"6'0""",155,"73""",Orthodox,8/22/1983,2.35,26%,4.14,51%,0.0,0%,33%,0%,0.8
1068,1069,e56daf7725a0b5ab,Justin Edwards,9,5,0,0,"5'10""",155,"70""",Orthodox,1/26/1983,2.68,42%,3.32,51%,2.14,26%,27%,26%,1.0
1070,1071,78863e4a28204a6b,Justin Frazier,10,3,0,0,"6'0""",265,"75""",Southpaw,6/15/1989,1.11,66%,6.11,4%,0.0,0%,0%,0%,0.0
1071,1072,9e8f6c728eb01124,Justin Gaethje,22,3,0,0,"5'11""",155,"70""",Orthodox,11/14/1988,7.46,59%,7.99,55%,0.0,0%,69%,0%,0.0
1073,1074,304a21d0595e1a08,Justin Jaynes,16,7,0,0,"5'7""",155,"68""",Orthodox,8/10/1989,3.58,42%,6.49,58%,0.0,0%,33%,0%,0.6
1075,1076,879f6cae48d25baa,Justin Lawrence,10,4,0,0,"5'8""",145,"67""",Orthodox,5/15/1990,3.84,35%,2.83,67%,0.72,28%,73%,28%,0.0
1076,1077,ba1e6cb3d43f7430,Justin Ledet,9,4,0,1,"6'4""",205,"80""",Orthodox,9/28/1988,3.35,39%,4.82,49%,0.23,50%,42%,50%,0.2
1078,1079,75f871836d41f90f,Justin McCully,11,5,2,0,"6'1""",225,"73""",Orthodox,2/18/1976,1.58,37%,2.02,46%,1.28,44%,43%,44%,0.0
1079,1080,9b198c73e3d0d289,Justin Salas,12,7,0,0,"5'8""",155,"70""",Southpaw,3/13/1982,3.42,43%,2.96,68%,2.43,20%,0%,20%,0.0
1080,1081,9fa568ad2bf2cb0b,Justin Scoggins,11,5,0,0,"5'7""",125,"66""",Southpaw,5/02/1992,3.56,51%,2.16,55%,3.42,63%,82%,63%,0.5
1081,1082,e13abac8089a801a,Justin Tafa,4,2,0,0,"6'0""",264,"74""",Southpaw,12/13/1993,5.33,59%,4.6,46%,0.0,0%,100%,0%,0.0
1082,1083,ce1e867808ef5fce,Justin Willis,8,2,0,0,"6'1""",264,"78""",Southpaw,7/19/1987,3.37,59%,2.57,57%,0.96,66%,36%,66%,0.0
1084,1085,928ae2e5b5f7a9ec,Justine Kish,7,3,0,0,"5'5""",125,"64""",Orthodox,4/13/1988,4.65,48%,4.62,59%,1.01,35%,55%,35%,0.2
1086,1087,9cd047a828dd7515,KB Bhullar,8,1,0,0,"6'4""",185,"78""",Switch,10/12/1991,1.18,13%,10.0,37%,0.0,0%,0%,0%,0.0
1087,1088,b7ffa72aa148599a,KJ Noons,13,9,0,1,"5'10""",155,"70""",Orthodox,12/07/1982,3.68,35%,3.78,65%,0.08,20%,68%,20%,0.0
1088,1089,eee0ef3e2b14816b,Kai Kamaka,8,3,0,0,"5'7""",145,"69""",Orthodox,1/05/1995,6.58,60%,6.74,49%,3.68,75%,37%,75%,0.6
1089,1090,853eb0dd5c0e2149,Kai Kara-France,22,9,0,1,"5'4""",125,"69""",Orthodox,3/26/1993,5.02,39%,3.84,66%,0.53,23%,86%,23%,0.0
1090,1091,05b43e0ead3df345,Kailin Curran,4,5,0,0,"5'4""",115,"65""",Orthodox,4/11/1991,3.89,43%,4.75,53%,2.0,57%,61%,57%,0.6
1091,1092,633a45d131192ffe,Kajan Johnson,23,13,1,0,"5'11""",155,"75""",Orthodox,4/21/1984,2.47,42%,1.59,64%,1.54,37%,62%,37%,0.2
1092,1093,c8136ab8aa32c974,Kalib Starnes,17,11,1,0,"6'3""",185,"74""",Orthodox,1/06/1975,2.71,48%,4.43,53%,1.46,33%,25%,33%,0.6
1094,1095,ece280745f8727b8,Kamal Shalorus,9,5,2,0,"5'8""",155,"68""",Orthodox,8/27/1972,3.06,32%,2.99,70%,2.07,50%,80%,50%,0.0
1095,1096,f1b2aa7853d1ed6e,Kamaru Usman,18,1,0,0,"6'0""",170,"76""",Switch,5/11/1987,4.66,54%,2.33,58%,3.22,47%,100%,47%,0.1
1096,1097,e0b0cf71e0d69dd0,Kanako Murata,12,1,0,0,"5'1""",115,"62""",Orthodox,8/10/1993,1.93,67%,1.93,52%,4.0,44%,0%,44%,2.0
1097,1098,37d5b176d438d2a5,Karl Roberson,9,3,0,0,"6'1""",185,"74""",Southpaw,10/04/1990,3.0,51%,2.42,57%,0.99,57%,50%,57%,0.8
1098,1099,d23ccf4a6c221284,Karlos Vemola,17,5,0,0,"6'0""",185,"75""",Orthodox,7/03/1985,1.67,44%,2.13,37%,1.93,25%,31%,25%,1.7
1099,1100,349aaa3da11eb587,Karo Parisyan,24,11,0,1,"5'10""",170,"72""",Orthodox,8/28/1982,2.49,41%,2.19,58%,5.27,59%,59%,59%,1.0
1100,1101,351c4ec637380ad5,Karol Rosa,14,3,0,0,"5'5""",135,"67""",Orthodox,12/30/1994,7.73,52%,5.51,48%,2.0,60%,90%,60%,0.0
1101,1102,d7c3816669784109,Karolina Kowalkiewicz,12,6,0,0,"5'3""",115,"64""",Orthodox,10/15/1985,5.27,39%,5.65,56%,0.1,12%,75%,12%,0.1
1102,1103,e872e9a9a902c045,Katlyn Chookagian,15,4,0,0,"5'9""",125,"68""",Orthodox,12/28/1988,4.22,34%,4.23,63%,0.27,15%,51%,15%,0.5
1104,1105,44470bfd9483c7ad,Katsunori Kikuno,24,8,2,0,"5'8""",145,"66""",Orthodox,10/31/1981,2.64,40%,2.47,61%,1.88,75%,76%,75%,0.8
1105,1106,4100c7a09497ad41,Kay Hansen,7,4,0,0,"5'2""",115,"63""",Orthodox,8/14/1999,3.57,59%,3.03,54%,2.19,25%,100%,25%,1.6
1106,1107,b034747dc1d15491,Kazuhiro Nakamura,21,13,0,0,"5'11""",205,"70""",Orthodox,7/16/1979,1.56,37%,1.83,59%,1.73,36%,42%,36%,0.6
1107,1108,c4af2feb4b58bc3b,Kazuki Tokudome,18,7,1,0,"5'11""",155,"73""",Southpaw,3/04/1987,2.26,41%,3.63,53%,2.0,38%,78%,38%,0.0
1108,1109,ec18eb918121787c,Kazula Vargas,10,4,0,0,"5'8""",155,"71""",Southpaw,8/15/1985,1.84,49%,1.16,54%,0.79,33%,25%,33%,0.0
1112,1113,65ddc8a9ac4e8531,Keita Nakamura,34,10,2,1,"5'11""",170,"73""",Southpaw,5/22/1984,2.23,36%,3.2,58%,1.65,48%,63%,48%,0.3
1115,1116,b9d0fd83bb8a147a,Keith Jardine,17,11,2,0,"6'2""",185,"76""",Orthodox,10/31/1975,3.25,36%,2.98,59%,1.18,45%,62%,45%,0.7
1120,1121,8c0580d4fff106c1,Kelvin Gastelum,17,6,0,1,"5'9""",185,"71""",Southpaw,10/24/1991,3.64,43%,2.92,59%,1.22,39%,64%,39%,0.1
1121,1122,63b65af1c5cb02cb,Ken Shamrock,28,17,2,0,"6'1""",205,"72""",Orthodox,2/11/1964,1.47,46%,4.3,39%,0.94,60%,44%,60%,2.5
1122,1123,fbf0947399d14323,Ken Stone,11,4,0,0,"5'8""",135,"71""",Southpaw,10/08/1982,3.85,49%,2.9,48%,1.24,33%,60%,33%,0.6
1123,1124,234f3767ff0e5701,Kendall Grove,23,17,0,1,"6'6""",185,"79""",Orthodox,11/12/1982,2.31,41%,2.4,54%,0.49,45%,56%,45%,1.7
1125,1126,8667caa0451d245b,Kennedy Nzechukwu,8,1,0,0,"6'5""",205,"83""",Southpaw,6/13/1992,5.38,43%,5.8,48%,0.0,0%,78%,0%,0.0
1126,1127,cb139171ed1b69fe,Kenny Florian,14,6,0,0,"5'10""",145,"74""",Southpaw,5/26/1976,2.41,40%,1.85,63%,2.22,33%,60%,33%,1.3
1127,1128,6e0273f9478be71e,Kenny Robertson,15,5,0,0,"5'10""",170,"74""",Orthodox,2/14/1984,3.72,47%,3.02,52%,1.37,26%,57%,26%,0.8
1129,1130,b9706f80d005036c,Ketlen Vieira,11,2,0,0,"5'8""",135,"68""",Orthodox,8/26/1991,2.66,36%,3.84,53%,2.19,48%,92%,48%,0.5
1130,1131,cf946e03ba2e7666,Kevin Aguilar,17,4,0,0,"5'7""",155,"73""",Orthodox,9/07/1988,3.69,37%,4.47,53%,0.19,25%,87%,25%,0.0
1131,1132,a6d8bfe9e0c8153b,Kevin Burns,12,7,0,0,"5'10""",170,"74""",Orthodox,3/03/1980,2.74,38%,4.3,52%,0.28,50%,47%,50%,0.8
1132,1133,8d9586726252dbf7,Kevin Casey,9,5,2,2,"5'11""",185,"77""",Southpaw,6/15/1981,2.27,53%,3.76,46%,0.79,22%,27%,22%,0.4
1133,1134,35b3772629e27a49,Kevin Croom,21,13,0,1,"5'11""",155,"73""",Orthodox,7/15/1987,1.35,36%,3.22,31%,0.97,6%,50%,6%,1.0
1134,1135,27541033b97c076d,Kevin Ferguson,5,2,0,1,"6'2""",235,"77""",Orthodox,2/08/1974,2.3,50%,3.41,38%,3.1,72%,36%,72%,1.2
1135,1136,3a46b268013afede,Kevin Holland,21,5,0,0,"6'3""",185,"81""",Orthodox,11/05/1992,4.74,57%,2.77,56%,1.19,42%,52%,42%,0.8
1138,1139,ee9ebceabfd16fa7,Kevin Lee,18,6,0,0,"5'9""",170,"77""",Orthodox,9/04/1992,3.9,42%,3.23,51%,3.21,43%,75%,43%,0.8
1139,1140,0c258d1d8e16e5f1,Kevin Natividad,9,2,0,0,"5'6""",145,"70""",Orthodox,4/02/1993,2.57,24%,3.74,54%,0.0,0%,100%,0%,0.0
1142,1143,032cc3922d871c7f,Khabib Nurmagomedov,29,0,0,0,"5'10""",155,"70""",Orthodox,9/20/1988,4.1,48%,1.75,65%,5.32,48%,84%,48%,0.8
1143,1144,c3218c810959d279,Khadis Ibragimov,8,4,0,0,"6'3""",205,"78""",Orthodox,5/21/1995,3.55,49%,4.26,47%,0.97,30%,80%,30%,0.3
1144,1145,231cae8b77fbbcc1,Khalid Murtazaliev,14,2,0,0,"6'0""",185,"76""",Orthodox,7/15/1993,4.8,69%,0.4,78%,7.5,100%,33%,100%,0.0
1145,1146,b4537562f88ac582,Khalid Taha,13,3,0,1,"5'5""",135,"69""",Orthodox,2/15/1992,2.86,35%,4.26,43%,0.0,0%,61%,0%,0.3
1146,1147,749f572d1d3161fb,Khalil Rountree Jr.,9,5,0,1,"6'1""",205,"76""",Southpaw,2/26/1990,3.06,38%,3.63,49%,0.0,0%,50%,0%,0.2
1147,1148,78e501478a36a018,Khama Worthy,16,7,0,0,"5'11""",155,"74""",Orthodox,10/15/1986,4.12,47%,3.69,45%,0.0,0%,57%,0%,0.8
1148,1149,767755fd74662dbf,Khamzat Chimaev,9,0,0,0,"6'2""",170,"75""",Orthodox,5/01/1994,9.03,72%,0.1,66%,4.67,75%,0%,75%,3.1
1149,1150,2558ae2e5671e318,Khaos Williams,11,2,0,0,"6'0""",170,"77""",Orthodox,3/30/1994,4.39,45%,2.95,44%,0.0,0%,0%,0%,0.0
1150,1151,71df36d6d8cf0d74,Kiichi Kunimoto,18,7,2,1,"5'10""",170,"71""",Orthodox,5/01/1981,1.87,44%,3.92,41%,1.59,20%,28%,20%,0.3
1153,1154,7279654c7674cd24,Klidson Abreu,15,4,0,1,"6'0""",205,"74""",Orthodox,12/24/1992,2.05,40%,2.9,55%,0.64,20%,80%,20%,0.0
1157,1158,baed16f18348908e,Kris McCray,8,5,0,0,"6'0""",170,"76""",Orthodox,9/24/1981,2.69,45%,2.57,54%,2.88,55%,38%,55%,0.0
1160,1161,242d36d241b43c12,Kron Gracie,5,1,0,0,"5'9""",145,"70""",Southpaw,7/11/1988,5.15,41%,8.13,53%,0.88,25%,0%,25%,0.9
1161,1162,4e06913c91da5200,Krzysztof Jotko,22,4,0,0,"6'1""",185,"77""",Southpaw,8/19/1989,2.98,45%,1.9,58%,1.27,35%,87%,35%,0.1
1162,1163,59583ff832fe9d68,Krzysztof Soszynski,26,12,1,0,"6'1""",205,"77""",Open,8/02/1977,3.37,39%,3.13,58%,0.52,25%,71%,25%,1.0
1163,1164,9d4522df6fc49a47,Kuniyoshi Hironaka,23,9,0,0,"5'10""",168,"70""",Orthodox,6/17/1976,1.98,40%,3.01,54%,1.91,30%,25%,30%,0.6
1164,1165,a7151778b3381036,Kurt Holobaugh,17,7,0,1,"5'11""",155,"70""",Orthodox,9/08/1986,4.51,42%,4.28,46%,0.97,36%,45%,36%,0.7
1165,1166,aa1952ec0b3dd8e1,Kurt Pellegrino,16,7,0,0,"5'8""",155,"70""",Orthodox,5/07/1979,2.45,43%,1.94,63%,2.9,54%,69%,54%,0.8
1167,1168,c5af5750e8bae4f0,Kyle Bochniak,8,5,0,0,"5'7""",145,"70""",Orthodox,2/05/1987,2.63,31%,5.11,58%,1.14,15%,62%,15%,0.0
1168,1169,a6959da32f0e6b5d,Kyle Bradley,19,12,0,1,"5'9""",155,"71""",Orthodox,8/19/1982,1.99,40%,3.45,58%,0.65,50%,40%,50%,0.0
1169,1170,d6c0cdd7e467c440,Kyle Daukaus,10,1,0,0,"6'3""",185,"76""",Southpaw,2/27/1993,3.69,59%,2.16,42%,2.33,41%,94%,41%,1.7
1170,1171,b959e8c7fd8390d2,Kyle Kingsbury,11,6,0,1,"6'4""",205,"79""",Orthodox,3/22/1982,2.97,40%,3.81,51%,2.64,41%,52%,41%,0.0
1171,1172,31f8081c7600da93,Kyle Nelson,13,4,0,0,"5'11""",155,"71""",Switch,4/20/1991,3.63,41%,6.82,47%,0.96,12%,60%,12%,1.9
1172,1173,7339d340aa2889cb,Kyle Noke,22,10,1,0,"6'1""",170,"76""",Southpaw,3/18/1980,3.23,50%,2.09,64%,1.53,54%,66%,54%,0.8
1173,1174,873626e5547b5235,Kyle Prepolec,12,7,0,0,"5'10""",170,"70""",Southpaw,8/30/1989,3.2,34%,4.7,54%,0.0,0%,40%,0%,0.0
1174,1175,bb61823f76361297,Kyle Stewart,11,3,0,0,"6'0""",170,"76""",Orthodox,1/31/1989,1.41,35%,2.42,43%,1.32,20%,60%,20%,0.0
1176,1177,60425d07ef4b91a7,Kyler Phillips,9,1,0,0,"5'8""",135,"72""",Orthodox,6/12/1995,5.32,46%,3.04,61%,2.88,63%,71%,63%,0.4
1177,1178,98aa60cf58071fd6,Kyoji Horiguchi,19,2,0,0,"5'5""",125,"66""",Orthodox,10/12/1990,3.6,45%,2.45,62%,2.0,44%,55%,44%,0.0
1178,1179,a7897d200692ab64,Kyung Ho Kang,17,8,0,1,"5'9""",135,"73""",Orthodox,9/09/1987,2.52,44%,2.43,58%,2.53,59%,71%,59%,1.1
1179,1180,5431dccc09118234,Lance Benoist,7,2,0,0,"5'11""",170,"72""",Southpaw,8/26/1988,3.68,51%,2.7,56%,1.5,33%,61%,33%,0.0
1181,1182,f9b200db02b488d9,Lando Vannata,11,5,2,0,"5'9""",155,"71""",Orthodox,3/14/1992,4.58,44%,5.1,54%,1.13,37%,58%,37%,0.4
1182,1183,e99821959a840bb8,Lara Procopio,7,1,0,0,"5'4""",125,"67""",Orthodox,11/14/1995,6.7,57%,6.93,47%,3.5,50%,0%,50%,0.5
1185,1186,a12a8314adc1c1c9,Laureano Staropoli,9,3,0,0,"6'1""",170,"71""",Orthodox,2/27/1993,4.4,34%,4.58,53%,0.25,20%,57%,20%,0.0
1186,1187,f923e012414c883e,Lauren Mueller,5,3,0,0,"5'5""",125,"67""",Orthodox,11/15/1991,4.08,41%,3.77,58%,0.7,50%,71%,50%,0.0
1187,1188,729d4bd5a6cd0a97,Lauren Murphy,14,4,0,0,"5'5""",125,"67""",Orthodox,7/27/1983,3.8,38%,3.82,63%,1.18,37%,70%,37%,0.1
1188,1189,e6c5908910cc26e4,Lavar Johnson,18,10,0,0,"6'4""",240,"82""",Orthodox,6/11/1977,5.39,55%,2.54,55%,0.61,66%,54%,66%,0.6
1190,1191,d1e1fdcea7c8a90a,Leandro Issa,13,6,0,0,"5'7""",135,"69""",Orthodox,9/19/1983,2.08,37%,3.17,58%,2.38,22%,50%,22%,1.2
1191,1192,159da492e000afbf,Leandro Silva,20,6,1,1,"5'9""",155,"72""",Orthodox,11/11/1985,2.39,48%,2.08,63%,1.76,37%,65%,37%,0.4
1195,1196,f1fac969a1d70b08,Leon Edwards,18,3,0,1,"6'2""",170,"74""",Southpaw,8/25/1991,2.56,47%,2.03,55%,1.35,30%,70%,30%,0.4
1196,1197,917e53fa0adea0d3,Leonard Garcia,18,13,1,0,"5'10""",145,"68""",Orthodox,7/14/1979,2.77,24%,4.79,52%,0.3,26%,42%,26%,0.5
1198,1199,8bbc0cfc01bc1ba1,Leonardo Mafra,13,4,0,0,"5'10""",155,"70""",Orthodox,4/25/1989,4.55,48%,4.38,43%,2.12,83%,69%,83%,0.4
1200,1201,9c65736747ca92ec,Leonardo Santos,18,4,1,0,"6'0""",155,"75""",Orthodox,2/05/1980,2.76,44%,2.71,60%,1.09,27%,88%,27%,0.4
1201,1202,396fe87b84ac2e1c,Lerone Murphy,10,0,1,0,"5'9""",145,"73""",Orthodox,7/22/1991,2.86,42%,2.07,63%,0.87,33%,41%,33%,0.9
1202,1203,76984112f697631f,Leslie Smith,10,7,1,0,"5'9""",135,"66""",Orthodox,8/17/1982,7.56,40%,8.41,51%,0.0,0%,62%,0%,0.0
1203,1204,938ad489fb7a1f31,Levan Makashvili,15,2,1,0,"5'8""",145,"68""",Orthodox,1/07/1989,2.87,54%,2.07,61%,3.67,42%,85%,42%,0.0
1205,1206,e64b96c07d7ce999,Li Jingliang,18,6,0,0,"6'0""",170,"71""",Orthodox,3/20/1988,4.52,42%,3.65,59%,1.28,39%,59%,39%,0.0
1206,1207,eebc23626e38f5dc,Liana Jojua,8,4,0,0,"5'4""",125,"62""",Orthodox,3/22/1995,2.53,39%,4.86,48%,1.49,66%,50%,66%,2.2
1207,1208,f300763147320d12,Liliya Shakirova,8,2,0,0,"5'4""",125,"65""",Orthodox,10/24/1991,2.7,30%,2.58,74%,0.0,0%,0%,0%,0.0
1208,1209,2eeaefbfc7f9fcff,Lina Lansberg,10,5,0,0,"5'7""",135,"65""",Orthodox,3/13/1982,2.76,57%,3.7,44%,0.71,33%,50%,33%,0.1
1209,1210,dab8cfbb6b1db10a,Livinha Souza,14,3,0,0,"5'3""",115,"63""",Orthodox,3/11/1991,2.06,45%,3.38,62%,2.4,44%,40%,44%,1.2
1210,1211,51a0c09cbe9b8472,Liz Carmouche,13,7,0,0,"5'6""",125,"66""",Orthodox,2/19/1984,2.78,54%,2.51,61%,2.57,51%,65%,51%,0.3
1213,1214,4e30e4250cb08b61,Loma Lookboonmee,5,2,0,0,"5'1""",115,"61""",Orthodox,1/18/1996,5.16,55%,3.09,59%,0.67,25%,72%,25%,0.0
1214,1215,9450848a71d53776,Lorenz Larkin,18,6,0,1,"5'11""",170,"72""",Orthodox,9/03/1986,3.53,46%,2.74,63%,0.27,42%,79%,42%,0.1
1215,1216,afe8d5b39ff7fca2,Louis Cosce,7,1,0,0,"5'9""",170,"71""",Orthodox,8/27/1995,8.22,48%,9.3,48%,1.07,11%,0%,11%,0.0
1216,1217,b72a60a0cadff408,Louis Gaudinot,8,4,0,1,"5'3""",125,"63""",Orthodox,8/28/1984,2.34,37%,6.42,48%,0.57,40%,31%,40%,1.1
1217,1218,d2bc285ead803db0,Louis Smolka,17,7,0,0,"5'9""",135,"68""",Orthodox,7/16/1991,4.44,46%,3.74,53%,1.84,37%,31%,37%,1.9
1219,1220,9ccf8371fd80d45d,Luan Chagas,15,3,1,0,"6'0""",170,"75""",Orthodox,6/17/1993,4.16,47%,3.19,62%,0.32,12%,85%,12%,0.3
1220,1221,528b071cf3da7c56,Luana Carolina,6,2,0,0,"5'6""",125,"69""",Orthodox,6/11/1993,6.29,50%,3.75,47%,0.0,0%,100%,0%,2.4
1221,1222,7413b80dbb0f8f9f,Lucas Martins,19,3,0,0,"6'0""",145,"72""",Southpaw,11/11/1988,2.87,35%,4.14,60%,0.0,0%,76%,0%,0.5
1222,1223,3cf66c62d9069f43,Lucie Pudilova,8,6,0,0,"5'8""",125,"67""",Orthodox,6/13/1994,4.15,36%,4.09,52%,0.16,12%,61%,12%,0.6
1224,1225,5b86d491d63890c5,Ludovit Klein,17,2,0,0,"5'7""",155,"72""",Southpaw,2/22/1995,7.11,69%,3.16,42%,0.0,0%,0%,0%,0.0
1225,1226,9583662df31d943f,Luigi Fioravanti,26,15,0,0,"5'8""",170,"70""",Orthodox,1/22/1981,2.23,42%,2.21,69%,3.76,63%,67%,63%,0.9
1226,1227,2f1a257d6777096d,Luigi Vendramini,9,1,0,0,"5'8""",170,"73""",Orthodox,1/16/1996,2.26,42%,2.26,59%,0.0,0%,0%,0%,2.0
1227,1228,e5bda12faabfc850,Luis Henrique,10,5,0,1,"6'2""",243,"74""",Orthodox,8/21/1993,1.81,43%,2.22,47%,3.09,36%,50%,36%,1.0
1228,1229,2844b047183a1adb,Luis Pena,8,3,0,0,"6'3""",155,"75""",Southpaw,7/05/1993,3.26,47%,2.74,50%,1.37,33%,45%,33%,1.4
1230,1231,24b033b3daf1c9df,Luiz Cane,17,7,0,1,"6'2""",185,"77""",Southpaw,4/24/1981,4.79,41%,5.0,60%,0.56,28%,100%,28%,0.3
1232,1233,fb41432b622992a9,Lukasz Sajewski,13,3,0,0,"5'8""",155,"71""",Orthodox,11/27/1990,2.06,35%,3.88,57%,1.01,25%,66%,25%,0.0
1233,1234,172c2135e70f87b7,Luke Barnatt,13,4,0,0,"6'6""",185,"77""",Orthodox,4/13/1988,4.43,36%,3.87,59%,0.63,42%,63%,42%,0.4
1235,1236,93ce4ac89e3d7652,Luke Cummo,6,6,0,0,"6'0""",170,"74""",Orthodox,4/27/1980,1.74,43%,1.5,59%,0.89,55%,42%,55%,1.4
1236,1237,4c288a2b250bb576,Luke Jumeau,13,5,0,0,"5'11""",170,"72""",Orthodox,2/12/1988,2.93,43%,3.17,58%,0.25,100%,86%,100%,0.0
1237,1238,00e11b5c8b7bfeeb,Luke Rockhold,16,5,0,0,"6'3""",205,"77""",Southpaw,10/17/1984,4.18,48%,2.43,56%,0.67,30%,68%,30%,1.1
1238,1239,96428b9e9bd048ea,Luke Sanders,13,4,0,0,"5'6""",135,"67""",Southpaw,12/12/1985,6.21,51%,4.11,53%,0.31,20%,66%,20%,0.3
1239,1240,2284092f8b63273b,Luke Zachrich,14,4,0,0,"6'2""",185,"74""",Orthodox,12/19/1981,4.56,32%,4.46,62%,0.74,33%,80%,33%,0.0
1240,1241,4e0692ad070976e4,Lyman Good,21,6,0,1,"6'0""",170,"74""",Orthodox,5/26/1985,5.34,48%,4.01,63%,0.27,100%,75%,100%,0.0
1241,1242,f7a7f7118d4b01b6,Lyoto Machida,24,8,0,0,"6'1""",185,"74""",Southpaw,5/30/1978,2.59,53%,1.57,61%,1.21,65%,75%,65%,0.4
1242,1243,86f582852a5b240a,Mac Danzig,21,12,1,0,"5'8""",155,"70""",Orthodox,1/02/1980,3.39,48%,3.44,57%,1.2,37%,46%,37%,0.6
1244,1245,51b1e2fd9872005b,Mackens Semerzier,8,4,0,1,"5'9""",145,"72""",Orthodox,11/03/1980,2.91,45%,3.48,46%,2.14,50%,50%,50%,2.1
1245,1246,7447e9f28508106a,Mackenzie Dern,10,1,0,0,"5'4""",115,"63""",Orthodox,3/24/1993,3.74,38%,3.81,61%,0.28,5%,0%,5%,2.2
